mode,type,key,latency_ms,status,stale,version,rw_interval_ms
w1r5,read,key18,69.00,404,false,0,-1.00
w1r5,read,key18,69.00,404,false,0,-1.00
w1r5,read,key18,70.00,404,false,0,-1.00
w1r5,read,key34,72.00,404,false,0,-1.00
w1r5,read,key18,74.00,404,false,0,-1.00
w1r5,read,key37,54.00,404,false,0,-1.00
w1r5,read,key37,56.00,404,false,0,-1.00
w1r5,read,key37,56.00,404,false,0,-1.00
w1r5,read,key37,54.00,404,false,0,-1.00
w1r5,read,key46,56.00,404,false,0,-1.00
w1r5,read,key18,54.00,404,false,0,-1.00
w1r5,read,key18,56.00,404,false,0,-1.00
w1r5,read,key18,55.00,404,false,0,-1.00
w1r5,read,key14,55.00,404,false,0,-1.00
w1r5,read,key18,58.00,404,false,0,-1.00
w1r5,write,key3,9.00,201,false,1,0.00
w1r5,read,key17,56.00,404,false,0,-1.00
w1r5,read,key17,56.00,404,false,0,-1.00
w1r5,read,key17,57.00,404,false,0,-1.00
w1r5,read,key17,60.00,404,false,0,-1.00
w1r5,read,key25,55.00,404,false,0,-1.00
w1r5,read,key12,56.00,404,false,0,-1.00
w1r5,read,key12,55.00,404,false,0,-1.00
w1r5,read,key12,54.00,404,false,0,-1.00
w1r5,read,key12,54.00,404,false,0,-1.00
w1r5,read,key16,55.00,404,false,0,-1.00
w1r5,read,key7,55.00,404,false,0,-1.00
w1r5,read,key7,56.00,404,false,0,-1.00
w1r5,read,key7,56.00,404,false,0,-1.00
w1r5,read,key7,56.00,404,false,0,-1.00
w1r5,read,key28,55.00,404,false,0,-1.00
w1r5,read,key46,53.00,404,false,0,-1.00
w1r5,read,key46,53.00,404,false,0,-1.00
w1r5,read,key46,53.00,404,false,0,-1.00
w1r5,read,key46,53.00,404,false,0,-1.00
w1r5,read,key5,53.00,404,false,0,-1.00
w1r5,read,key42,53.00,404,false,0,-1.00
w1r5,read,key42,53.00,404,false,0,-1.00
w1r5,read,key42,53.00,404,false,0,-1.00
w1r5,read,key42,52.00,404,false,0,-1.00
w1r5,read,key27,53.00,404,false,0,-1.00
w1r5,read,key38,52.00,404,false,0,-1.00
w1r5,read,key38,53.00,404,false,0,-1.00
w1r5,read,key38,53.00,404,false,0,-1.00
w1r5,read,key38,52.00,404,false,0,-1.00
w1r5,read,key29,53.00,404,false,0,-1.00
w1r5,read,key14,54.00,404,false,0,-1.00
w1r5,read,key14,53.00,404,false,0,-1.00
w1r5,read,key14,54.00,404,false,0,-1.00
w1r5,read,key14,54.00,404,false,0,-1.00
w1r5,read,key23,53.00,404,false,0,-1.00
w1r5,read,key39,53.00,404,false,0,-1.00
w1r5,read,key39,54.00,404,false,0,-1.00
w1r5,read,key39,52.00,404,false,0,-1.00
w1r5,read,key39,53.00,404,false,0,-1.00
w1r5,read,key33,54.00,404,false,0,-1.00
w1r5,read,key29,53.00,404,false,0,-1.00
w1r5,read,key29,54.00,404,false,0,-1.00
w1r5,read,key29,53.00,404,false,0,-1.00
w1r5,read,key29,52.00,404,false,0,-1.00
w1r5,read,key16,53.00,404,false,0,-1.00
w1r5,read,key39,53.00,404,false,0,-1.00
w1r5,read,key39,53.00,404,false,0,-1.00
w1r5,read,key39,53.00,404,false,0,-1.00
w1r5,read,key39,52.00,404,false,0,-1.00
w1r5,read,key43,54.00,404,false,0,-1.00
w1r5,read,key38,53.00,404,false,0,-1.00
w1r5,read,key38,52.00,404,false,0,-1.00
w1r5,read,key38,54.00,404,false,0,-1.00
w1r5,read,key38,53.00,404,false,0,-1.00
w1r5,read,key17,51.00,404,false,0,-1.00
w1r5,read,key34,54.00,404,false,0,-1.00
w1r5,read,key34,53.00,404,false,0,-1.00
w1r5,read,key34,54.00,404,false,0,-1.00
w1r5,read,key34,53.00,404,false,0,-1.00
w1r5,read,key14,52.00,404,false,0,-1.00
w1r5,read,key39,53.00,404,false,0,-1.00
w1r5,read,key39,54.00,404,false,0,-1.00
w1r5,read,key39,53.00,404,false,0,-1.00
w1r5,read,key39,53.00,404,false,0,-1.00
w1r5,read,key12,53.00,404,false,0,-1.00
w1r5,read,key13,54.00,404,false,0,-1.00
w1r5,read,key13,53.00,404,false,0,-1.00
w1r5,read,key13,53.00,404,false,0,-1.00
w1r5,read,key13,54.00,404,false,0,-1.00
w1r5,read,key49,56.00,404,false,0,-1.00
w1r5,read,key27,53.00,404,false,0,-1.00
w1r5,read,key27,55.00,404,false,0,-1.00
w1r5,read,key27,55.00,404,false,0,-1.00
w1r5,read,key27,56.00,404,false,0,-1.00
w1r5,read,key12,54.00,404,false,0,-1.00
w1r5,read,key33,56.00,404,false,0,-1.00
w1r5,read,key33,55.00,404,false,0,-1.00
w1r5,read,key33,58.00,404,false,0,-1.00
w1r5,read,key40,57.00,404,false,0,-1.00
w1r5,read,key33,58.00,404,false,0,-1.00
w1r5,read,key9,55.00,404,false,0,-1.00
w1r5,write,key14,4.00,201,false,2,0.00
w1r5,read,key9,55.00,404,false,0,-1.00
w1r5,write,key14,5.00,201,false,3,0.00
w1r5,read,key9,58.00,404,false,0,-1.00
w1r5,read,key28,56.00,404,false,0,-1.00
w1r5,read,key9,57.00,404,false,0,-1.00
w1r5,write,key14,5.00,201,false,4,0.00
w1r5,write,key14,3.00,201,false,5,0.00
w1r5,read,key46,52.00,404,false,0,-1.00
w1r5,read,key46,51.00,404,false,0,-1.00
w1r5,read,key8,55.00,404,false,0,-1.00
w1r5,read,key46,55.00,404,false,0,-1.00
w1r5,read,key46,53.00,404,false,0,-1.00
w1r5,read,key43,54.00,404,false,0,-1.00
w1r5,read,key43,55.00,404,false,0,-1.00
w1r5,read,key7,55.00,404,false,0,-1.00
w1r5,read,key43,55.00,404,false,0,-1.00
w1r5,read,key43,55.00,404,false,0,-1.00
w1r5,read,key18,56.00,404,false,0,-1.00
w1r5,read,key18,59.00,404,false,0,-1.00
w1r5,read,key16,54.00,404,false,0,-1.00
w1r5,read,key18,57.00,404,false,0,-1.00
w1r5,write,key22,6.00,201,false,6,0.00
w1r5,read,key18,57.00,404,false,0,-1.00
w1r5,read,key25,53.00,404,false,0,-1.00
w1r5,read,key25,56.00,404,false,0,-1.00
w1r5,read,key25,55.00,404,false,0,-1.00
w1r5,read,key11,56.00,404,false,0,-1.00
w1r5,read,key25,57.00,404,false,0,-1.00
w1r5,read,key37,54.00,404,false,0,-1.00
w1r5,read,key37,52.00,404,false,0,-1.00
w1r5,read,key37,55.00,404,false,0,-1.00
w1r5,read,key28,55.00,404,false,0,-1.00
w1r5,read,key37,55.00,404,false,0,-1.00
w1r5,read,key7,52.00,404,false,0,-1.00
w1r5,read,key7,56.00,404,false,0,-1.00
w1r5,read,key7,55.00,404,false,0,-1.00
w1r5,read,key5,56.00,404,false,0,-1.00
w1r5,read,key7,55.00,404,false,0,-1.00
w1r5,read,key24,55.00,404,false,0,-1.00
w1r5,read,key24,54.00,404,false,0,-1.00
w1r5,read,key32,52.00,404,false,0,-1.00
w1r5,read,key24,55.00,404,false,0,-1.00
w1r5,read,key24,55.00,404,false,0,-1.00
w1r5,read,key0,53.00,404,false,0,-1.00
w1r5,read,key0,55.00,404,false,0,-1.00
w1r5,read,key11,57.00,404,false,0,-1.00
w1r5,read,key0,58.00,404,false,0,-1.00
w1r5,read,key0,57.00,404,false,0,-1.00
w1r5,read,key35,54.00,404,false,0,-1.00
w1r5,read,key35,55.00,404,false,0,-1.00
w1r5,read,key19,55.00,404,false,0,-1.00
w1r5,read,key35,55.00,404,false,0,-1.00
w1r5,read,key35,56.00,404,false,0,-1.00
w1r5,read,key28,54.00,404,false,0,-1.00
w1r5,read,key28,55.00,404,false,0,-1.00
w1r5,read,key11,53.00,404,false,0,-1.00
w1r5,read,key28,56.00,404,false,0,-1.00
w1r5,read,key28,57.00,404,false,0,-1.00
w1r5,read,key44,53.00,404,false,0,-1.00
w1r5,read,key44,54.00,404,false,0,-1.00
w1r5,read,key12,53.00,404,false,0,-1.00
w1r5,read,key44,55.00,404,false,0,-1.00
w1r5,read,key44,53.00,404,false,0,-1.00
w1r5,read,key47,53.00,404,false,0,-1.00
w1r5,read,key47,53.00,404,false,0,-1.00
w1r5,read,key31,53.00,404,false,0,-1.00
w1r5,read,key47,54.00,404,false,0,-1.00
w1r5,read,key47,56.00,404,false,0,-1.00
w1r5,read,key17,56.00,404,false,0,-1.00
