mode,type,key,latency_ms,status,stale,version,rw_interval_ms
w3r3,read,key58,80.00,404,false,0,-1.00
w3r3,read,key28,58.00,404,false,0,-1.00
w3r3,read,key77,56.00,404,false,0,-1.00
w3r3,read,key96,55.00,404,false,0,-1.00
w3r3,read,key73,58.00,404,false,0,-1.00
w3r3,write,key72,326.00,201,false,29,0.00
w3r3,write,key72,328.00,201,false,30,0.00
w3r3,write,key72,331.00,201,false,31,0.00
w3r3,write,key72,341.00,201,false,33,0.00
w3r3,write,key72,346.00,201,false,37,0.00
w3r3,write,key72,348.00,201,false,34,0.00
w3r3,write,key72,348.00,201,false,36,0.00
w3r3,write,key72,349.00,201,false,35,0.00
w3r3,write,key72,349.00,201,false,32,0.00
w3r3,read,key8,54.00,404,false,0,-1.00
w3r3,read,key0,51.00,404,false,0,-1.00
w3r3,read,key0,51.00,404,false,0,-1.00
w3r3,read,key0,60.00,404,false,0,-1.00
w3r3,read,key0,54.00,404,false,0,-1.00
w3r3,read,key0,52.00,404,false,0,-1.00
w3r3,read,key0,52.00,404,false,0,-1.00
w3r3,read,key0,53.00,404,false,0,-1.00
w3r3,read,key0,54.00,404,false,0,-1.00
w3r3,read,key0,55.00,404,false,0,-1.00
w3r3,read,key26,55.00,404,false,0,-1.00
w3r3,read,key78,56.00,404,false,0,-1.00
w3r3,read,key78,58.00,404,false,0,-1.00
w3r3,read,key78,56.00,404,false,0,-1.00
w3r3,read,key78,55.00,404,false,0,-1.00
w3r3,read,key78,58.00,404,false,0,-1.00
w3r3,read,key78,56.00,404,false,0,-1.00
w3r3,read,key78,60.00,404,false,0,-1.00
w3r3,read,key78,60.00,404,false,0,-1.00
w3r3,read,key78,57.00,404,false,0,-1.00
w3r3,read,key11,56.00,404,false,0,-1.00
w3r3,read,key67,57.00,404,false,0,-1.00
w3r3,read,key67,58.00,404,false,0,-1.00
w3r3,read,key67,57.00,404,false,0,-1.00
w3r3,read,key67,57.00,404,false,0,-1.00
w3r3,read,key67,59.00,404,false,0,-1.00
w3r3,read,key67,59.00,404,false,0,-1.00
w3r3,read,key67,62.00,404,false,0,-1.00
w3r3,read,key67,62.00,404,false,0,-1.00
w3r3,read,key67,61.00,404,false,0,-1.00
w3r3,read,key75,56.00,404,false,0,-1.00
w3r3,read,key75,55.00,404,false,0,-1.00
w3r3,read,key75,55.00,404,false,0,-1.00
w3r3,read,key75,54.00,404,false,0,-1.00
w3r3,read,key75,54.00,404,false,0,-1.00
w3r3,read,key75,57.00,404,false,0,-1.00
w3r3,read,key75,55.00,404,false,0,-1.00
w3r3,read,key75,53.00,404,false,0,-1.00
w3r3,read,key75,58.00,404,false,0,-1.00
w3r3,read,key35,56.00,404,false,0,-1.00
w3r3,read,key35,56.00,404,false,0,-1.00
w3r3,read,key35,55.00,404,false,0,-1.00
w3r3,read,key35,54.00,404,false,0,-1.00
w3r3,read,key35,55.00,404,false,0,-1.00
w3r3,read,key35,55.00,404,false,0,-1.00
w3r3,read,key35,57.00,404,false,0,-1.00
w3r3,read,key35,58.00,404,false,0,-1.00
w3r3,read,key35,56.00,404,false,0,-1.00
w3r3,read,key67,55.00,404,false,0,-1.00
w3r3,read,key67,57.00,404,false,0,-1.00
w3r3,read,key67,58.00,404,false,0,-1.00
w3r3,read,key67,60.00,404,false,0,-1.00
w3r3,read,key67,57.00,404,false,0,-1.00
w3r3,read,key67,56.00,404,false,0,-1.00
w3r3,read,key67,58.00,404,false,0,-1.00
w3r3,read,key67,59.00,404,false,0,-1.00
w3r3,read,key67,57.00,404,false,0,-1.00
w3r3,read,key59,57.00,404,false,0,-1.00
w3r3,read,key59,54.00,404,false,0,-1.00
w3r3,read,key59,55.00,404,false,0,-1.00
w3r3,read,key59,55.00,404,false,0,-1.00
w3r3,read,key59,54.00,404,false,0,-1.00
w3r3,read,key59,55.00,404,false,0,-1.00
w3r3,read,key59,55.00,404,false,0,-1.00
w3r3,read,key59,55.00,404,false,0,-1.00
w3r3,read,key59,55.00,404,false,0,-1.00
w3r3,write,key7,298.00,201,false,38,0.00
